"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_91_c6fc8abd","Ulkopuoliset palvelut","Ulkopuoliset palvelut","","RUP","[('account_id.user_type_id', '=', 115)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_79_19ff36eb","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_93_751fec29","Henkilösivukulut","Henkilösivukulut","","RHSK","","","balance = RHEK.balance + RHMK.balance","","False","True","__export__.account_financial_html_report_line_80_70429b9c","False","1","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_77_37f7e1f5","Valmistus omaan käyttöön","Valmistus omaan käyttöön","","RVOK","[('account_id.user_type_id', '=', 110)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","2","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_96_cc416a6e","Vaihtuvien vastaavien arvonalentumiset","Vaihtuvien vastaavien arvonalentumiset","","RAVV","[('account_id.user_type_id', '=', 124)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_81_8260857e","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_99_f0872ac8","Tuotot muista pysyvien vastaavien sijoituksista","Tuotot muista pysyvien vastaavien sijoituksista","","RTPV","","","balance = RTPK.balance + RTPM.balance","","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_106_8ef4b0e2","Konserniavustus","Konserniavustus","","RKA","[('account_id.user_type_id', '=', 149)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_86_84362c69","False","2","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_78_7631d7d8","Liiketoiminnan muut tuotot","Liiketoiminnan muut tuotot","","RLMT","[('account_id.user_type_id', '=', 111)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","3","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_100_05c70876","Muut korko- ja rahoitustuotot","Muut korko- ja rahoitustuotot","","RTKO","","","balance = RTKK.balance + RTKM.balance","","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","3","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_79_19ff36eb","Materiaalit ja palvelut","Materiaalit ja palvelut","","RMP","","__export__.account_financial_html_report_5_2934059c","balance = RATT.balance + RUP.balance","","False","True","","False","4","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_101_b16b9bd3","Arvonalentumiset pysyvien vastaavien sijoituksista","Arvonalentumiset pysyvien vastaavien sijoituksista","","RASI","[('account_id.user_type_id', '=', 144)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","4","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_102_8f60cd8e","Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista","Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista","","RARA","","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","5","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_80_70429b9c","Henkilöstökulut","Henkilöstökulut","","RHK","","__export__.account_financial_html_report_5_2934059c","balance = RHPP.balance + RHSK.balance","","False","True","","False","5","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_81_8260857e","Poistot ja arvonalentumiset","Poistot ja arvonalentumiset","","RPA","","__export__.account_financial_html_report_5_2934059c","balance = RSMP.balance + RAPV.balance + RAVV.balance","","False","True","","False","6","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_103_a518a753","Korkokulut ja muut rahoituskulut","Korkokulut ja muut rahoituskulut","","RKKO","","","balance = RKKK.balance + RKKM.balance","","False","True","__export__.account_financial_html_report_line_84_9d5da82e","False","6","Foldable","Use given dates","Float","3"
"__export__.account_financial_html_report_line_82_2674d952","Liiketoiminnan muut kulut","Liiketoiminnan muut kulut","","RLMK","[('account_id.user_type_id', 'in', [120,125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137])]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","7","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_83_506ed2d1","LIIKEVOITTO (-TAPPIO)","LIIKEVOITTO (-TAPPIO)","","RLVT","","__export__.account_financial_html_report_5_2934059c","balance = RLV.balance + RVVM.balance + RVOK.balance + RLMT.balance + RMP.balance+ RHK.balance + RPA.balance + RLMK.balance","","False","True","","False","8","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_84_9d5da82e","Rahoitustuotot ja –kulut","Rahoitustuotot ja –kulut","","RRTK","","__export__.account_financial_html_report_5_2934059c","balance = RTOK.balance + RTOY.balance + RTPV.balance + RTKO.balance + RASI.balance+ RARA.balance + RKKO.balance","","False","True","","False","9","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_85_59f68ee1","VOITTO (TAPPIO) ENNEN TILINPÄÄTÖSSIIRTOJA JA VEROJA","VOITTO (TAPPIO) ENNEN TILINPÄÄTÖSSIIRTOJA JA VEROJA","","RETV","","__export__.account_financial_html_report_5_2934059c","balance = RLVT.balance + RRTK.balance","","False","True","","False","10","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_86_84362c69","Tilinpäätössiirrot","Tilinpäätössiirrot","","RTS","","__export__.account_financial_html_report_5_2934059c","balance = RPEM.balance + RVEM.balance + RKA.balance","","False","True","","False","11","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_87_7cbe7d06","Tuloverot","Tuloverot","","RTV","","__export__.account_financial_html_report_5_2934059c","balance = RTKV.balance + RLAV.balance","","False","True","","False","12","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_88_1db9aaea","Muut välittömät verot","Muut välittömät verot","","RMV","[('account_id.user_type_id', '=', 152)]","__export__.account_financial_html_report_5_2934059c","balance = -sum.balance","account_id","False","True","","False","13","Foldable","Use given dates","Float","2"
"__export__.account_financial_html_report_line_89_a850c52d","Tilikauden voitto (tappio)","Tilikauden voitto (tappio)","","RNET","","__export__.account_financial_html_report_5_2934059c","balance = RETV.balance + RTS.balance + RTV.balance + RMV.balance","","False","True","","False","14","Foldable","Use given dates","Float","0"
