"External ID","Display Name","Section Name","Action/ID","Code","Domain","Financial Report/ID","Formulas","Group by","Hide If Zero","Is growth good when positive","Parent/ID","Print On New Page","Sequence","Show Domain","Special Date Changer","Type","Level"
"__export__.account_financial_html_report_line_180_94e702c8","Muut saamiset","Muut saamiset","","BASPU","[('account_id.user_type_id', '=', 47)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_173_f8023b1a","False","5","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_218_0f60339e","Ostovelat","Ostovelat","","BPVLO","[('account_id.user_type_id', 'in', [2, 98])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","6","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_205_c433b703","Ostovelat","Ostovelat","","BPVPO","[('account_id.user_type_id', '=', 85)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","6","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_181_2330ac27","Maksamattomat osakkeet/osuudet","Maksamattomat osakkeet/osuudet","","BASMO","[('account_id.user_type_id', '=', 48)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_173_f8023b1a","False","6","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_125_46036b84","PAKOLLISET VARAUKSET","PAKOLLISET VARAUKSET","","BPP","","__export__.account_financial_html_report_6_d8bdec57","balance = BPPE.balance + BPPV.balance + BPPM.balance","","False","True","","False","6","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_189_325e3b21","Maksamattomat osakkeet/osuudet","Maksamattomat osakkeet/osuudet","","BSLMO","[('account_id.user_type_id', '=', 58)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_174_8fd8bcc6","False","6","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_219_9a9151e6","Rahoitusvekselit","Rahoitusvekselit","","BPVLX","[('account_id.user_type_id', '=', 99)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","7","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_190_a5f2b449","Siirtosaamiset","Siirtosaamiset","","BASLS","[('account_id.user_type_id', '=', 59)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_174_8fd8bcc6","False","7","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_126_5e6dec6d","VIERAS PÄÄOMA","VIERAS PÄÄOMA","","BPV","","__export__.account_financial_html_report_6_d8bdec57","balance = BPVP.balance + BPVL.balance","","False","True","","False","7","Foldable","Use given dates","Float","1"
"__export__.account_financial_html_report_line_182_d2786e9f","Siirtosaamiset","Siirtosaamiset","","BSPS","[('account_id.user_type_id', '=', 49)]","","balance = sum.balance","account_id","False","True","__export__.account_financial_html_report_line_173_f8023b1a","False","7","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_206_eade2bd2","Rahoitusvekselit","Rahoitusvekselit","","BPVPX","[('account_id.user_type_id', '=', 86)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","7","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_207_e6659acb","Velat saman konsernin yrityksille","Velat saman konsernin yrityksille","","BPVPK","[('account_id.user_type_id', '=', 87)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","8","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_220_3a5d8ed4","Velat saman konsernin yrityksille","Velat saman konsernin yrityksille","","BPVLK","[('account_id.user_type_id', 'in', [100,101])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","8","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_127_543c21c8","V a s t a t t a v a a","V a s t a t t a v a a","","BPT","","__export__.account_financial_html_report_6_d8bdec57","balance = BPO.balance + BPS.balance + BPP.balance + BPV.balance","","False","True","","False","8","Foldable","Use given dates","Float","0"
"__export__.account_financial_html_report_line_208_51fb546d","Velat omistusyhteysyrityksille","Velat omistusyhteysyrityksille","","BPVPY","[('account_id.user_type_id', '=', 88)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","9","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_221_e0887614","Velat omistusyhteysyrityksille","Velat omistusyhteysyrityksille","","BPVLY","[('account_id.user_type_id', 'in', [102,103])]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","9","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_222_844f3d55","Laskennalliset verovelat","Laskennalliset verovelat","","BPVLD","[('account_id.user_type_id', '=', 104)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","10","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_209_bde8ed83","Laskennalliset verovelat","Laskennalliset verovelat","","BPVPD","[('account_id.user_type_id', '=', 89)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","10","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_210_666e05f6","Muut velat","Muut velat","","BPVPM","[('account_id.user_type_id', '=', 90)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","11","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_223_b054767e","Muut velat","Muut velat","","BPVLM","[('account_id.user_type_id', '=', 105)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","11","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_211_b2368a07","Siirtovelat","Siirtovelat","","BPVPS","[('account_id.user_type_id', '=', 91)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_146_bbc35a9c","False","12","Foldable","Use given dates","Float","4"
"__export__.account_financial_html_report_line_224_53ec2a95","Siirtovelat","Siirtovelat","","BPVLS","[('account_id.user_type_id', '=', 106)]","","balance = -sum.balance","account_id","False","True","__export__.account_financial_html_report_line_147_8d7465f3","False","12","Foldable","Use given dates","Float","4"
